Gasses,Dynamic viscosity,Spec. heat ratio Cp/Cv,,mean free path,Conductivity,Spec. heat const. vol.,Accomodation factor,,,,,,,,,,ref.
Symbol,h,g,,l,k g,Cv,,,,,,,,,,,
Unit,[Pa·s],[-],,[m],[W/mK],[J/kgK],[ - ],,,,,,,,,,
He,1.98E-05,1.66,,1.86E-07,1.49E-01,3150,,,,,,,,,,,1
Ne,3.16E-05,1.64,,1.32E-07,4.80E-02,635,,,,,,,,,,,1
Ar,2.24E-05,1.67,,6.70E-08,1.67E-02,310,,,,,,,,,,,1
H2,8.9E-06,1.41,,1.18E-07,1.80E-01,10120,,,,,,,,,,,1
O2,2.07E-05,1.4,,6.80E-08,2.67E-02,657,,,,,,,,,,,1
N2,1.78E-05,1.4,,6.30E-08,2.60E-02,741,,,,,,,,,,,1
CO2,1.49E-05,1.3,,4.20E-08,1.67E-02,648,,,,,,,,,,,1
Vacuum,0,0,,0.00E+00,0.00E+00,0,,,,,,,,,,,1
Air,1.85E-05,1.4,,6.40E-08,2.62E-02,718,,,,,,,,,,,1
